Id,SalePrice
1461,129134.33922355216
1462,181128.26417495127
1463,172319.19866390104
1464,205030.07926857687
1465,184551.8446552938
1466,168137.0505304821
1467,177990.7214950641
1468,168323.10919574078
1469,174364.07233819028
1470,115551.90735210404
1471,186193.86672188892
1472,91601.14567256047
1473,90571.75876420387
1474,159725.6887648321
1475,112307.83421999375
1476,378168.16021898825
1477,244726.9030761474
1478,307430.95390892867
1479,253701.85241088338
1480,576971.8805980535
1481,322950.4884849316
1482,215395.77581879759
1483,184960.5445834798
1484,166375.57901272242
1485,167307.50758449428
1486,192848.14163928022
1487,355315.64049762505
1488,240206.58947474032
1489,216121.14302905515
1490,215699.24828831156
1491,194968.89000432903
1492,95533.34224564275
1493,181144.19572408954
1494,289105.74995221937
1495,317472.1284481924
1496,215893.88442786373
1497,174040.94874830157
1498,130765.47716280668
1499,132039.22467073376
1500,149230.75699932626
1501,173019.87834873848
1502,144737.38490389945
1503,298869.7543716644
1504,239150.51405636434
1505,214826.62664853066
1506,201137.54513612532
1507,250679.36232506606
1508,215014.31588911402
1509,168686.4582850051
1510,143392.87888513407
1511,147352.1722360977
1512,170698.58564535467
1513,153950.6920439376
1514,173943.5876526112
1515,183746.13098578338
1516,162188.15806764652
1517,169067.75093076008
1518,142895.91724080846
1519,234693.0998160046
1520,139695.72337356707
1521,145800.3807268377
1522,157932.98913578552
1523,117635.7418506449
1524,120707.07310975592
1525,127471.26671856082
1526,107887.76765825036
1527,88318.36797742538
1528,143479.1105626858
1529,135768.01028399254
1530,181543.3295590767
1531,93842.02015848186
1532,105374.27452903918
1533,150968.90191601773
1534,116233.76113262257
1535,171625.09009247573
1536,109089.40374314309
1537,61026.77119049305
1538,144423.71647325665
1539,180151.5631882448
1540,84472.33332329264
1541,159658.33297987882
1542,137947.6150741771
1543,207504.6418779135
1544,68795.30016120424
1545,101818.54733651914
1546,127646.72092722743
1547,128008.62353541062
1548,143703.9206107738
1549,104286.70203568958
1550,127792.65428077249
1551,116277.98541709648
1552,127463.20325295303
1553,141948.39616807003
1554,122802.48459762806
1555,177818.15646428367
1556,82799.34119007664
1557,116621.67333642716
1558,91791.7741727303
1559,62019.305811092825
1560,113307.17208792869
1561,103777.12678517167
1562,120859.12138765553
1563,110876.69486164136
1564,147580.5492365495
1565,140733.32821518663
1566,252535.522546463
1567,74965.18566508967
1568,215387.54300350902
1569,136721.3228108994
1570,148956.44821365757
1571,119137.53483197844
1572,160729.85285041927
1573,284431.96413776034
1574,96532.00427907484
1575,215688.61632528374
1576,228456.5641687341
1577,203867.8708670587
1578,121786.89236530993
1579,157473.9032234253
1580,192053.48988279753
1581,149585.45317977128
1582,118215.76394800984
1583,345140.42798863095
1584,232776.42455540225
1585,130108.66987833178
1586,60275.53665617404
1587,103397.95663150767
1588,153243.62738498827
1589,113199.17260711658
1590,119662.53279199541
1591,99239.74189780024
1592,112160.05639137074
1593,116304.86106723061
1594,113317.20040638288
1595,90155.7808172067
1596,242918.00768927686
1597,181184.9796255331
1598,193669.01895670898
1599,159199.53246817115
1600,163981.80251914414
1601,70935.72699535215
1602,112623.74839372802
1603,72775.31885396183
1604,252761.33444267657
1605,263670.70671917737
1606,169763.03809626508
1607,171989.93412166258
1608,212781.74163471293
1609,184570.0763744896
1610,160956.3650076031
1611,143426.15386258578
1612,164951.04647720934
1613,166821.39953469989
1614,115564.70778312352
1615,70392.16127247026
1616,59405.30876957741
1617,87068.76108365717
1618,119202.54270346164
1619,128938.80307994041
1620,138867.6142305432
1621,138707.48768213292
1622,159939.85133563832
1623,286063.171377017
1624,215248.3448740927
1625,128620.82566503418
1626,162466.23173629656
1627,196791.3085095049
1628,292604.0963502191
1629,178432.31501087503
1630,391832.93764206476
1631,224024.89122718002
1632,255850.63778726518
1633,167725.28432590512
1634,183005.83508992748
1635,179579.60934505498
1636,153212.16748848575
1637,179759.0523827993
1638,145461.31701168497
1639,179203.3283667152
1640,275014.70178904413
1641,198838.02375419784
1642,228663.73986046767
1643,235906.43906425632
1644,253494.33076380225
1645,169706.931543142
1646,161207.09904373952
1647,161813.40889807712
1648,131537.64020803367
1649,128318.88861545596
1650,101722.50508573746
1651,114908.11738719851
1652,94309.77893707776
1653,91901.15785606673
1654,157364.852299737
1655,143087.94000724476
1656,154711.94832073935
1657,152421.7262756126
1658,147902.68555626358
1659,116376.06522851829
1660,151879.08238629525
1661,544578.4199403555
1662,499081.16623177635
1663,451693.8472196414
1664,527053.2731597649
1665,334656.7816502542
1666,356954.22648180526
1667,301219.4147066944
1668,344778.6058370492
1669,279116.64618520066
1670,369090.4813796626
1671,276485.32884045475
1672,527529.2855301702
1673,291939.84279265435
1674,257293.37670572472
1675,184315.7919195933
1676,191641.86930354955
1677,212215.52569113963
1678,517566.09821247496
1679,348835.20945945336
1680,379815.1832549564
1681,261436.58566607357
1682,298255.79986179504
1683,194983.86345657732
1684,185531.3855071801
1685,173739.79815211595
1686,180012.2066219813
1687,162742.1952945015
1688,187366.10652071648
1689,194547.56391673555
